id,syoshin_cd,syohin_mei,maker_cd,dai_bunrui_cd,chu_bunrui_cd,sho_bunrui_cd,sai_bunrui_cd,maker,dai_bunrui,chu_bunrui,sho_bunrui,sai_bunrui
1,4905164325210,ＣＢＡペアショーツ　Ｌ　１５４　８４７６０ＦＳ,4901020,500000,510000,510100,510105,4901020_アツギ,500000_衣料・身回り品,510000_衣料・衣服,510100_肌着・靴下,510105_婦人肌着
2,4560108663294,シービー　スーパージャンボ角ハンガーＢＫ　４８Ｐ,456010866,200000,240000,240300,240303,456010866_シービージャパン,200000_日用品,240000_家庭用品,240300_洗濯・物干し用品,240303_物干し用品
3,4937292999926,ウッドストック　キッズＤＶＤ,4937292,300000,340000,340900,340901,4937292_ウッドストック,300000_文化用品,340000_楽器・音響ソフト,340900_記録物類,340901_ディスク式記録物類
4,4902154003400,浪花屋　元祖柿の種スリムパック　６０ｇ,4902154,100000,130000,130100,130129,4902154_浪花屋製菓,100000_食　品,130000_菓子類,130100_菓子,130129_米菓
5,4986614244008,オカザキ　健康サンダル　ナチュラル　Ｍ,4986614,500000,550000,550500,550548,4986614_オカザキ,500000_衣料・身回り品,550000_靴・履物,550500_メンズ（合皮）,550548_ヘップサンダル
6,4901901595694,マルハニチロ　フルティシエ沖縄県産アセロラ２０５ｇ,456220215,100000,130000,130200,130203,456220215_マルハニチロ,100000_食　品,130000_菓子類,130200_デザート・ヨーグルト,130203_デザート類
7,4548514139541,バスクリン　ピュアスキン　しっとり涼肌,4548514,200000,210000,212200,212207,4548514_バスクリン,200000_日用品,210000_日用雑貨,212200_石鹸類,212207_入浴剤
8,4580212412083,テクノ　日射しカットフィルム　３２×９０ｃｍ,458021241,200000,250000,259700,259797,458021241_テクノエイム,200000_日用品,250000_ＤＩＹ用品,259700_その他ＤＩＹ用品,259797_その他ＤＩＹ用品
9,4906470002024,関西ノート　国語帳　３．４年用,4906470,300000,310000,310700,310715,4906470_関西ノート,300000_文化用品,310000_文具・事務用品・情報文具,310700_教育関連用品,310715_学童用品・教材教具
10,4901301362209,花王　アタックギフト　Ｋ・ＡＫ－４０,4901301,200000,290000,290100,290101,4901301_花王,200000_日用品,290000_その他日用品,290100_日用贈答品,290101_日用贈答品
11,4902713132602,マルコメ　ダイズラボそのまま食べる大豆粉　１００ｇ,4902713,100000,110000,119700,119701,4902713_マルコメ,100000_食　品,110000_加工食品,119700_その他加工食品,119701_農産加工品
12,4901105200028,アイセン　貼り付く　ネコのマルチフック　１個,4901105,200000,240000,240800,240805,4901105_アイセン,200000_日用品,240000_家庭用品,240800_リビング用品,240805_ハンガーボード・フック
13,4902715535500,丸大　うす塩ブロックベーコン　１０２ｇ,4902715,100000,110000,111500,111511,4902715_丸大食品,100000_食　品,110000_加工食品,111500_加工肉類,111511_ベーコン
14,4970641004285,伊賀屋　京豆苑もちもち絹厚揚げ　２個,4970641,100000,110000,111800,111897,4970641_伊賀屋食品工業,100000_食　品,110000_加工食品,111800_水物,111897_その他水物
15,4513744063652,ヤマハ　ピアニカ　青　Ｐ－３２ＥＪ,4513744,300000,340000,340200,340207,4513744_ヤマハミュージックジャパン,300000_文化用品,340000_楽器・音響ソフト,340200_オルガン類,340207_けん盤ハーモニカ
16,4902111734422,ラックス　ダメージＰペアミニジャー付,4902111,200000,230000,232500,232597,4902111_ユニリーバ・ジャパン,200000_日用品,230000_化粧品,232500_インバスヘアケア,232597_その他インバスヘアケア
17,4967853109549,クミックス　指先強化ウレタン快適手袋Ｍ　１Ｐ,4967853,200000,240000,249700,249715,4967853_全農クミックス,200000_日用品,240000_家庭用品,249700_その他家庭用品,249715_家庭用手袋
